"title";"Title";"Published";"category";"sub_category";"creator";"subject";"keywords";"Item Url";"Description"
"Wired UK";"It’s no fun managing a footballer’s social media";"2021-05-01T08:00";"Culture";"Business / Social Media";"Amit Katwala";;"Sport, Twitter, Facebook";"https://www.wired.co.uk/article/premier-league-social-media-boycott";"Football’s social media boycott has shone a light on the weird industry that’s sprung up between players and fans"
"Wired UK";"This week on The WIRED Podcast";"2021-04-30T19:49";"Culture";;"WIRED";"Podcast";"Podcast";"https://www.wired.co.uk/article/the-wired-podcast";"The award-winning WIRED UK Podcast with James Temperton and the rest of the team. Listen every week for an informed and entertaining rundown of latest technology, science, business and culture news. New episodes every Friday"
"Wired UK";"53 of the best films on Netflix UK this week";"2021-04-30T16:15";"Culture";"Culture / TV";"WIRED";"TV";"TV, Culture, Netflix";"https://www.wired.co.uk/article/best-films-on-netflix-uk";"Stuck for a good film on Netflix? Here's our pick of the best Netflix movies to feast your eyes on, updated weekly"
"Wired UK";"Returnal does something that only a game can do";"2021-04-30T14:47:10";"Culture";"Culture / Videogames";"Will Bedingfield";;;"https://www.wired.co.uk/article/returnal-ps5-review";"The game isn’t perfect, but it’s an exciting vision of things to come"
"Wired UK";"The best SPF sunscreens to level up your ray-banning game";"2021-04-30T14:39:19";"Gear";;"Victoria Woollaston";;"Health";"https://www.wired.co.uk/article/best-spf-sunscreens";"Take advantage of sunny days ahead with our guide to everything sunscreen-related"
"Wired UK";"The best deals in Amazon’s Smart Home Week sale";"2021-04-30T13:48";"Gear";"Gear / Smart Home";"WIRED";;"Audio, WIRED Recommends";"https://www.wired.co.uk/article/best-amazon-smart-home-week-deals";"All the genuinely interesting deals on tech that brings smarts and convenience to your digs"
"Wired UK";"This startup finds the music megastars of the future";"2021-04-30T08:00";"Culture";"Culture / Music";"William Ralston";;"Artificial Intelligence, Data, May / June 2021 Issue";"https://www.wired.co.uk/article/instrumental-music-talent";"Instrumental spots hidden gems before they go big. But is it ruining music?"
"Wired UK";"The best laptops for any budget in 2021";"2021-04-29T18:16";"Gear";"Gear / Computers";"WIRED";"WIRED Recommends";"WIRED Recommends, Laptops";"https://www.wired.co.uk/article/best-laptop";"WIRED Recommends the best laptops to help you find your perfect portable"
"Wired UK";"The best BBQs and pizza ovens, gas and charcoal";"2021-04-29T18:13";"Gear";;"WIRED";"WIRED Recommends";"WIRED Recommends, Gear, Food";"https://www.wired.co.uk/article/best-bbq-gas-and-charcoal";"From gas and charcoal grills to al fresco pizza ovens, WIRED Recommends the best barbecues"
"Wired UK";"India’s vaccine crisis is a warning to the world";"2021-04-29T14:28:21";"Science";"Science / Health";"Grace Browne";;;"https://www.wired.co.uk/article/india-vaccine-production";"As Covid cases soar, India is contending with a shortage of the raw materials needed to make enough vaccines"
"Wired UK";"How to upgrade your laptop audio";"2021-04-29T08:00";"Gear";"Gear / Computers";"Simon Lucas";;"Laptops, Audio";"https://www.wired.co.uk/article/how-to-upgrade-laptop-audio";"Tips, tricks, headphones and accessories to maximise your laptop’s sound"
"Wired UK";"Google’s plan to eradicate cookies is crumbling";"2021-04-29T08:00";"Security";"Security / Privacy";"Matt Burgess";;"Data, Google, Regulation";"https://www.wired.co.uk/article/google-floc-trial";"Regulators and rivals have raised concerns about Google’s grand plan to rewrite the rules of online advertising"
"Wired UK";"China is scrambling for global semiconductor supremacy";"2021-04-29T08:00";"Security";"Business / Computers and Software";"Lavender Au";;"China, Digital Society with Vontobel";"https://www.wired.co.uk/article/china-microchip-autonomy-huawei";"China is already the world’s largest consumer of chips. Now it’s hungry for more"
"Wired UK";"Māori are trying to save their language from Big Tech";"2021-04-28T08:00";"Security";"Security / Privacy";"Donavyn Coffey";;"Artificial Intelligence, Data, Internet Culture";"https://www.wired.co.uk/article/maori-language-tech";"Te Hiku Media gathered huge swathes of Māori language data. Corporates are now trying to get the rights to it"
"Wired UK";"The best 4K Blu-ray players for home cinema aficionados";"2021-04-28T08:00";"Gear";"Gear / Televisions";"WIRED";;"WIRED Recommends, Smart Home";"https://www.wired.co.uk/article/best-blu-ray-players";"Long live the disc! To get the very best picture quality out of your movie marathons, take a look at our pick of the best 4K Blu-ray players you can buy"
"Wired UK";"Which music streaming service should you choose?";"2021-04-27T14:13";"Gear";;"WIRED";"WIRED Recommends";"WIRED Recommends, Gear, Music";"https://www.wired.co.uk/article/which-music-streaming-service";"We survey the music streaming scene to help you decide which service tickles your tune requirements"
"Wired UK";"Apple’s new iOS update is its most significant privacy update ever";"2021-04-27T08:00";"Security";;"Matt Burgess";;"Privacy, Apple";"https://www.wired.co.uk/article/ios-14-5-update-app-tracking";"iOS 14.5 upends how apps track your behaviour. From now on you will have to opt-in to send advertisers your data"
"Wired UK";"This is what Monzo is planning next";"2021-04-27T08:00";"Business";"Business / Startups";"Natasha Bernal";;"Fintech, Economics";"https://www.wired.co.uk/article/monzo-future";"TS Anil took over the challenger bank at a time of existential crisis. A year on, he’s got a plan to (finally) break even"
"Wired UK";"A Covid breakthrough could fix the broken economics of vaccines";"2021-04-27T08:00";"Science";"Science / Health";"David Cox";;"Biology, Economics";"https://www.wired.co.uk/article/mrna-vaccines-economics";"Pharmaceutical firms have spent decades shunning expensive vaccines, but mRNA vaccines could change that for good"
"Wired UK";"The best recipe boxes and meal kits in 2021, tried and tested";"2021-04-26T18:22";"Gear";;"WIRED";"WIRED Recommends";"WIRED Recommends, Gear, Smart Home, Food";"https://www.wired.co.uk/article/best-recipe-boxes-meal-kits-2020";"WIRED Recommends the best recipe box companies to create (almost) restaurant-worthy meals from the comfort of your kitchen"
"Wired UK";"The best headphones for any budget in 2021";"2021-04-26T16:45";"Gear";;"WIRED";"WIRED Recommends";"WIRED Recommends, Gear, Audio";"https://www.wired.co.uk/article/best-headphones";"The definitive guide to the best headphones in every category, including the best budget headphones under £100"
"Wired UK";"The best 65-inch TVs for any budget";"2021-04-26T13:25:59";"Gear";;"WIRED";"WIRED Recommends";"WIRED Recommends, TVs";"https://www.wired.co.uk/article/best-65in-tvs";"It's a great time to really push the cinematic experience you can get out of a TV. These large TVs are your best bet"
"Wired UK";"The race to replace cash with crypto is hotting up";"2021-04-26T08:00";"Business";"Business / Blockchain and Cryptocurrency";"Margaret Taylor";;"Digital Society with Vontobel, Bitcoin, Fintech, Government";"https://www.wired.co.uk/article/sweden-ekrona-digital-currency";"Worried by crypto’s ascent, central banks are designing official digital money. But what’s the need for it?"
"Wired UK";"The future of social media is sharing less, not more";"2021-04-26T08:00";"Culture";"Culture / Digital Culture";"Hussein Kesvani";;"Social Networks, Twitter, WIRED Opinion, May / June 2021 Issue";"https://www.wired.co.uk/article/social-media-future-sharing";"We may never leave social media completely. But we will control which aspects of our identities we share, and with whom"
"Wired UK";"This app helps keep Rio’s residents safe from gun crime";"2021-04-25T08:00";"Security";;"Raphael Tsavkko Garcia";;"Crime, May / June 2021 Issue";"https://www.wired.co.uk/article/fogo-cruzado-rio-violence";"Rio de Janeiro’s streets are notorious for their violence. An app is helping keep people out of harm’s way"
